Sentences,Aspect,Target,Polarity,Time
"There are still many things that need to be improved in the luxurious hospital ; employee attitudes, services and systems are easier.
My experience this afternoon was; unfriendly and disrespectful employee (very long story and worse).

Expensive prices do not guarantee good service.
Hopefully they can do better.",Cost,NULL,Negative,a month ago
"As a Surabaya born person.....This National Hospital was built as new building from empty Land and opened from year 2013 I believe, and as a resident of West Surabaya, I am quite proud to have this National Hospital built and standing closed to my house in Western Surabaya.....I was admitted 2x into this Luxurious 5 stars Hospital.....and recently on the 7th floor for 17 nights.....in April 6-24, 2020.........Quite Okay....they gave L'Occitaine body wash and body shampoo in the toilet on 7th Floor....My room # 7205 is quite a pleasant room......and the nurses and the Medical Doctors are professionals and polite and kind hearted......Thanks for everything.......thank you....for your dedication.....","Nurse, Doctor","National Hospital, National Hospital","Positive, Positive",a month ago
"This hospital clean, tidy and pretty ambience. The officer in drugstore inside is friendly and informative. It also has indonesian bistro for relaxing. The other side, there is starbucks coffee. It really serve the visitor the best. However the cost in this hospital is quite high .","Cleanliness, Receptionist&Billing, Food, Cost","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Neutral, Negative",7 months ago
Great ambience hospital in west surabaya,NULL,NULL,Positive,a year ago
"Still the bad managment.come alone with the sick kids,saw two parking lot available at front lobby but been ask to park to other place due got special guess  wanna visiting to hospital . Wondering patient is more important at hospital or special guess. -.-",Parking,NULL,Negative,6 months ago
"A modern hospital in West Surabaya. Has close access to malls (Pakuwon Mall), supermarkets (Ranch Market), Cafe and Places to Eat (Starbucks, Tanamera, Boncafe, Carls Jr., etc). Having sophisticated equipment such as MRI 3 Tesla, CT scan 128 Slices, and other services that are not always available in other hospitals. For the patient's family accommodation, there are several hotels around the location of the hospital, such as Four Point, Westin (Coming Soon), and Fave Hotel.","Food, Test&Examination","NULL, NULL","Positive, Positive",6 months ago
Very good service and staff,NULL,NULL,Positive,a year ago
"Clean n upscale, however the nurses sometimes give grumpy face, especially in the kids and gyno wards, they should improve the attitude","Cleanliness, Nurse","NULL, The Kids and Gyno Wards","Positive, Negative",5 months ago
"The hospital located on the Citraland Surabaya Housing area. Their staff is profesional, polite and helpfully",Receptionist&Billing,NULL,Positive,2 years ago
"Appearance-wise, this hospital looks premium and fit for you who seek upper class health service. The front desk staffs were all friendly",NULL,NULL,Positive,a year ago
The best hospital  in town!,NULL,NULL,Positive,7 months ago
"Primary location, maintaining clean environment. Polite staffs, but expensive.","Cleanliness, Receptionist&Billing, Cost","NULL, NULL, NULL","Positive, Positive, Negative",3 years ago
Cozy hospital with great service.. it's very very clean too!,Cleanliness,NULL,Positive,2 years ago
"Came here one or two times taking my wife to get gardasil shot. It looks like usual hospital from outside, but inside is quite amazing. Really resembles a luxury hotel, very spacious and clean. It was quiet last time we were here, so we didn't wait long. Starbucks is a plus thing, makes waiting less boring.","Cleanliness, Waiting Time, Food","NULL, NULL, Starbucks","Positive, Positive, Positive",a year ago
Very clean & sophisticated hospital,Cleanliness,NULL,Positive,10 months ago
"Best Emergency response in Town. Fast and reliable, mostly in cardiac care unit",Waiting Time,Cardiac Care Unit,Positive,a year ago
The best private hospital in Surabaya,NULL,NULL,Positive,6 months ago
"I didnt go there for a medical check up or visiting patients, but for a meeting with client. Yes, the place is quiet comfortable for having meeting since they offer many sofas/ tables/ chairs just like a coworking space. They have clean toilets, ATM center, Starbucks, Teapresso etc too.","Cleanliness, Food","Toilet, NULL","Positive, Positive",a year ago
Have one IVF Centre Morula Surabaya,NULL,NULL,Neutral,2 years ago
"Nice hospital, have starbucks, massage machines, vending machine but no canteen to buy food. It takes a long time to register (although it's only in UGD)","Food, Waiting Time","NULL, Emergency Unit","Negative, Negative",a year ago
Dirty floor on the intensive care unit. Single private patient rooms bathroom wasnt squeaky clean like it should when new patient checks in.,Cleanliness,Intensive Care Unit,Negative,2 years ago
Nice building and clean.,Cleanliness,NULL,Positive,2 years ago
"I waited around 1 hour UGD after register .They have just one doctor at UGD.How come just one doctor stanby ! I ask receptionist how long I wait ? She say I don't know when up to doctor calling.
I just quit register and move another Hospital ! If you have enough time,stop by National Hospotal.If you are urgent,you'd better stop by another Hospital ! Save your life and time !","Waiting Time, Receptionist&Billing","National Hospital, National Hospital","Negative, Negative",2 years ago
